h,geo_value,forecaster,forecast_date,target_date,forecast_0.01,forecast_0.025,forecast_0.05,forecast_0.1,forecast_0.15,forecast_0.2,forecast_0.25,forecast_0.3,forecast_0.35,forecast_0.4,forecast_0.45,forecast_0.5,forecast_0.55,forecast_0.6,forecast_0.65,forecast_0.7,forecast_0.75,forecast_0.8,forecast_0.85,forecast_0.9,forecast_0.95,forecast_0.975,forecast_0.99,deaths
2,ma,JHU_CSSE-DECOM,2020-10-05,2020-10-17,37.42857,39.85714,47.71429,55.78572,61.67857,66.57143,69.14286,74.33333,79.25715,81.5,87.35714,90.1978,90.96703,95.80953,100.6,102.1579,105.1786,109.4572,113.8571,124.3333,151.4286,170.9286,204.1429,58.0
2,mi,JHU_CSSE-DECOM,2020-10-05,2020-10-17,42.92857,47.92857,49.42857,54.63736,62.85714,69.85714,72.65306,78.28572,80.77143,81.85714,90.21428,92.20635,97.42857,101.6786,112.7551,117.0779,120.1429,135.1905,144.6508,157.0,187.1667,218.6857,360.875,121.0
2,mn,JHU_CSSE-DECOM,2020-10-05,2020-10-17,40.39286,42.14286,43.25397,46.62857,51.14286,53.28571,54.27143,57.0,60.42857,68.85714,77.14286,87.28571,89.89286,90.85714,101.2381,105.6154,117.1429,119.8571,129.0714,151.8571,170.5238,190.8929,254.8571,86.0
2,ms,JHU_CSSE-DECOM,2020-10-05,2020-10-17,40.0,44.57143,49.09524,58.92857,63.57143,71.19048,80.28572,87.57143,90.19048,93.71428,98.7619,100.4571,104.2857,106.3469,115.9714,122.1429,129.3571,140.6429,147.1786,162.8571,207.6429,233.0714,251.5714,75.0
2,mo,JHU_CSSE-DECOM,2020-10-05,2020-10-17,85.66667,104.5714,138.7143,149.7857,154.5238,184.0,198.0952,231.8571,246.4286,248.1429,253.3117,270.6429,291.7959,309.4286,325.1688,348.8052,375.2857,450.8182,507.5714,570.6161,660.2857,743.7143,818.5,159.0
2,mt,JHU_CSSE-DECOM,2020-10-05,2020-10-17,7.0,7.380952,9.642857,12.92857,14.54286,15.80952,17.52381,19.14286,21.71428,24.42857,25.67143,26.44643,27.44898,28.89796,30.57143,36.0,41.95238,43.35714,44.07143,44.7479,45.42857,82.5,93.7381,30.0
2,ne,JHU_CSSE-DECOM,2020-10-05,2020-10-17,7.174603,7.365079,10.85714,15.14286,18.5,21.21429,22.28572,23.44444,23.85714,25.4898,26.38095,29.54464,30.38306,34.92857,36.27857,37.69048,41.21429,45.31428,49.85714,56.57143,66.14286,74.23809,81.08928,28.0
2,nv,JHU_CSSE-DECOM,2020-10-05,2020-10-17,14.67857,22.42857,24.82143,30.08571,34.5,40.85714,45.11429,46.47619,48.14286,50.42857,53.02597,53.93506,54.57143,56.42857,61.42857,68.82143,73.38571,75.42857,86.22449,91.25,119.6429,147.5873,160.0635,48.0
2,nh,JHU_CSSE-DECOM,2020-10-05,2020-10-17,0.8,0.9387755,1.428571,1.837662,2.047619,2.428571,2.428571,2.571429,3.142857,3.384921,4.857143,6.285714,6.725,7.214286,7.74,7.857143,8.571428,8.713326,10.0,14.80952,16.71428,21.92857,29.0,11.0
2,nj,JHU_CSSE-DECOM,2020-10-05,2020-10-17,6.214286,8.428571,16.63265,22.28572,23.57143,29.11953,32.54762,35.57143,37.42857,41.46032,43.58242,44.88312,46.57143,49.32967,51.30357,55.92857,59.01429,64.75,70.07143,76.34286,78.4812,80.51128,87.14286,33.0
