h,geo_value,forecaster,forecast_date,target_date,forecast_0.01,forecast_0.025,forecast_0.05,forecast_0.1,forecast_0.15,forecast_0.2,forecast_0.25,forecast_0.3,forecast_0.35,forecast_0.4,forecast_0.45,forecast_0.5,forecast_0.55,forecast_0.6,forecast_0.65,forecast_0.7,forecast_0.75,forecast_0.8,forecast_0.85,forecast_0.9,forecast_0.95,forecast_0.975,forecast_0.99,deaths
4,md,CEID-Walk,2020-08-09,2020-09-05,19.388,25.955,33.0,43.73,49.943,54.577,59.979,61.489,65.516,66.958,69.805,72.013,73.992,78.698,80.835,82.672,85.664,92.057,95.76,102.253,111.458,126.415,137.036,50.0
1,ma,CEID-Walk,2020-08-09,2020-08-15,38.439,48.819,54.952,63.547,72.915,79.305,80.861,85.063,87.395,90.808,93.6,97.372,99.743,102.707,105.718,108.036,109.809,112.792,119.193,124.905,135.634,147.863,151.316,105.0
2,ma,CEID-Walk,2020-08-09,2020-08-22,12.294,36.58,40.739,55.254,59.526,67.061,71.241,75.265,81.013,84.959,88.276,92.097,98.897,102.13,107.574,110.386,119.169,125.803,137.738,145.552,163.835,174.893,202.265,-530.0
3,ma,CEID-Walk,2020-08-09,2020-08-29,0.044,2.922,9.24,28.751,37.395,52.933,57.239,61.901,68.266,77.842,83.371,87.303,91.874,102.169,112.449,119.36,136.818,139.623,147.555,156.073,171.378,200.209,212.476,31.0
4,ma,CEID-Walk,2020-08-09,2020-09-05,0.0,0.0,6.085,18.051,35.792,46.609,52.402,56.577,60.114,68.618,81.361,87.373,99.878,104.338,119.494,128.474,133.688,140.092,154.074,166.439,185.421,200.837,218.337,25.0
1,mi,CEID-Walk,2020-08-09,2020-08-15,3.714,11.403,14.869,24.662,31.551,35.74,43.857,48.185,50.9,55.337,57.931,60.238,64.183,66.113,68.651,71.662,75.907,84.665,92.1,96.291,113.811,126.493,135.494,66.0
2,mi,CEID-Walk,2020-08-09,2020-08-22,0.0,0.0,2.228,16.446,24.987,35.81,38.066,44.846,50.891,58.573,61.265,67.222,71.682,75.016,80.926,82.595,90.271,91.625,95.043,105.729,137.812,141.905,158.601,69.0
3,mi,CEID-Walk,2020-08-09,2020-08-29,0.0,0.0,0.0,3.397,12.415,18.285,24.103,37.678,47.232,49.71,52.896,60.664,64.848,68.93,80.363,90.562,103.387,107.548,115.794,123.729,140.306,151.519,160.38,56.0
4,mi,CEID-Walk,2020-08-09,2020-09-05,0.0,0.0,0.0,4.438,15.785,29.763,36.322,43.515,50.417,60.058,63.488,68.129,71.499,83.257,93.548,96.058,103.675,107.568,126.654,134.714,160.614,172.639,183.033,94.0
1,mn,CEID-Walk,2020-08-09,2020-08-15,25.41,28.053,30.533,32.709,34.148,35.624,38.168,39.381,40.518,41.312,42.413,44.179,44.999,45.702,46.711,47.467,48.572,49.781,50.488,52.756,55.289,57.882,61.774,16.0
2,mn,CEID-Walk,2020-08-09,2020-08-22,17.086,22.885,25.244,29.059,32.514,34.874,36.454,37.943,40.113,41.51,43.008,44.776,45.603,46.731,47.817,48.91,50.736,52.019,54.617,56.444,60.918,63.586,67.248,102.0
3,mn,CEID-Walk,2020-08-09,2020-08-29,15.427,19.295,20.721,24.329,30.334,34.725,36.439,37.749,39.723,41.326,42.246,43.154,45.512,46.468,48.711,49.922,51.954,53.71,56.272,61.464,67.075,72.908,77.395,56.0
4,mn,CEID-Walk,2020-08-09,2020-09-05,9.392,15.743,17.848,22.574,26.261,32.31,35.336,37.546,39.669,42.017,43.004,44.451,45.59,46.831,49.973,51.845,53.93,58.864,63.74,66.786,72.342,75.873,76.61,40.0
1,ms,CEID-Walk,2020-08-09,2020-08-15,46.69,80.494,93.953,112.928,124.324,136.147,150.068,158.886,174.756,176.672,178.876,182.789,188.94,192.222,203.133,214.516,228.012,232.935,236.057,246.979,273.321,290.148,303.772,206.0
2,ms,CEID-Walk,2020-08-09,2020-08-22,4.122,38.597,58.441,87.721,110.605,126.043,143.72,147.788,156.803,165.032,170.745,184.861,193.769,200.715,218.066,228.2,239.156,251.443,264.856,277.397,291.355,326.637,366.57,157.0
3,ms,CEID-Walk,2020-08-09,2020-08-29,0.0,5.279,26.962,73.278,99.166,116.79,127.57,137.834,143.425,152.757,157.697,167.942,180.864,190.765,208.904,226.335,237.988,244.345,255.285,281.602,306.185,320.099,361.859,190.0
4,ms,CEID-Walk,2020-08-09,2020-09-05,0.0,0.0,41.516,67.915,87.249,101.285,121.16,131.455,142.572,151.859,157.605,167.565,183.398,204.323,212.543,225.931,245.947,268.77,282.128,289.048,336.762,355.508,361.407,142.0
1,mo,CEID-Walk,2020-08-09,2020-08-15,0.369,3.674,14.357,18.815,30.384,33.476,36.811,39.745,42.395,45.907,47.372,50.834,53.318,54.622,56.247,59.094,63.665,71.91,73.711,79.17,85.281,92.096,99.064,51.0
2,mo,CEID-Walk,2020-08-09,2020-08-22,0.0,0.0,2.3,13.33,20.402,24.153,28.711,31.88,35.472,39.759,43.514,47.656,50.637,53.411,54.781,60.158,64.745,73.439,77.19,86.57,100.609,111.682,122.523,74.0
3,mo,CEID-Walk,2020-08-09,2020-08-29,0.0,0.0,0.0,3.552,9.394,21.577,31.329,36.519,41.352,43.4,46.624,51.607,55.149,61.532,65.45,68.595,72.812,78.679,84.596,90.188,107.522,115.092,132.587,79.0
